Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1660000,1.2939688,3.9480355,999.0,43.52987846843898,43.52987846843898,1.0
1670000,1.2939374,3.9047825,999.0,40.98788174511865,40.98788174511865,1.0
1680000,1.2924818,3.9051952,999.0,41.43475883565843,41.43475883565843,1.0
1690000,1.2923486,3.9626727,999.0,39.50408058948815,39.50408058948815,1.0
1700000,1.2911052,3.8622482,999.0,37.01625179657712,37.01625179657712,1.0
1710000,1.2908899,3.9803746,999.0,42.1428530051373,42.1428530051373,1.0
1720000,1.290014,4.0490294,999.0,46.24652381716296,46.24652381716296,1.0
1730000,1.2897779,3.9965851,999.0,41.345082206092776,41.345082206092776,1.0
1740000,1.288345,4.0064545,999.0,42.9829795227386,42.9829795227386,1.0
1750000,1.2878001,4.0067015,999.0,41.21267881151289,41.21267881151289,1.0
1760000,1.2871133,3.9572213,999.0,39.973888421617445,39.973888421617445,1.0
1770000,1.2867672,3.9689326,999.0,40.44575796741992,40.44575796741992,1.0
1780000,1.2859226,3.9434364,999.0,39.05645326289814,39.05645326289814,1.0
1790000,1.2853469,3.9489105,999.0,39.852888187207284,39.852888187207284,1.0
1800000,1.2845746,3.9923089,999.0,40.88847753321752,40.88847753321752,1.0
1810000,1.2839043,3.8323455,999.0,35.25386134237051,35.25386134237051,1.0
1820000,1.2835894,3.9239159,999.0,37.157060485566035,37.157060485566035,1.0
1830000,1.2832487,3.9838605,999.0,43.87174189537764,43.87174189537764,1.0
1840000,1.2829607,4.0120826,999.0,43.14558535749093,43.14558535749093,1.0
1850000,1.2825553,3.9389198,999.0,39.24604387411382,39.24604387411382,1.0
1860000,1.2824119,3.9652543,999.0,41.72067553307861,41.72067553307861,1.0
1870000,1.2821501,4.1118174,999.0,45.43116822978482,45.43116822978482,1.0
1880000,1.2817813,4.067445,999.0,43.28009311836213,43.28009311836213,1.0
1890000,1.280864,4.040455,999.0,38.53125551901758,38.53125551901758,1.0
1900000,1.2805182,4.0590467,999.0,41.847184447245674,41.847184447245674,1.0
1910000,1.2793344,4.079589,999.0,39.14466274008155,39.14466274008155,1.0
1920000,1.2791938,4.1015615,999.0,43.29857986103743,43.29857986103743,1.0
1930000,1.2784616,4.0364456,999.0,38.275643297005445,38.275643297005445,1.0
1940000,1.2783026,4.0888762,999.0,42.569157492928205,42.569157492928205,1.0
1950000,1.2767754,4.2022667,999.0,45.07091813515872,45.07091813515872,1.0
1960000,1.2767159,4.118718,999.0,40.688241147994994,40.688241147994994,1.0
1970000,1.2752002,4.135829,999.0,42.23273686543107,42.23273686543107,1.0
1980000,1.2752002,4.175584,999.0,39.89842827892862,39.89842827892862,1.0
1990000,1.2728704,4.184439,999.0,40.49895323207602,40.49895323207602,1.0
2000000,1.2728233,4.1603823,999.0,43.95171507345513,43.95171507345513,1.0
2010000,1.2711664,4.158693,999.0,43.13035749392584,43.13035749392584,1.0
2020000,1.2710192,4.1222095,999.0,40.01135469451547,40.01135469451547,1.0
2030000,1.2701087,4.122567,999.0,42.33294665757567,42.33294665757567,1.0
2040000,1.2699522,4.083877,999.0,37.43547873459757,37.43547873459757,1.0
2050000,1.2674417,4.0743895,999.0,39.47864710693248,39.47864710693248,1.0
2060000,1.2667555,4.019712,999.0,38.58956915847957,38.58956915847957,1.0
2070000,1.2650133,4.141518,999.0,45.44953475324437,45.44953475324437,1.0
2080000,1.2643573,4.0903125,999.0,38.56335954135284,38.56335954135284,1.0
2090000,1.2629327,4.1758776,999.0,44.579437201004474,44.579437201004474,1.0
2100000,1.262202,4.148592,999.0,42.28197740055621,42.28197740055621,1.0
2110000,1.2613436,4.0485306,999.0,38.60576139544137,38.60576139544137,1.0
2120000,1.2607658,4.0145125,999.0,37.456855091592296,37.456855091592296,1.0
2130000,1.2598544,4.1654544,999.0,42.80969661809504,42.80969661809504,1.0
2140000,1.2590542,4.098654,999.0,39.03075573081151,39.03075573081151,1.0
2150000,1.2587374,4.1245584,999.0,40.35575173301622,40.35575173301622,1.0
2160000,1.2583972,4.0646267,999.0,39.894497585482895,39.894497585482895,1.0
2170000,1.2580606,3.9735131,999.0,33.131096313311716,33.131096313311716,1.0
2180000,1.257592,4.1981287,999.0,43.7049426167272,43.7049426167272,1.0
2190000,1.2570614,3.9813933,999.0,37.30130136953667,37.30130136953667,1.0
2200000,1.2560843,4.06452,999.0,40.424437051522546,40.424437051522546,1.0
2210000,1.2557647,4.082487,999.0,42.03269273918122,42.03269273918122,1.0
2220000,1.2549889,4.2092843,999.0,44.9197726059705,44.9197726059705,1.0
2230000,1.2548512,3.9588234,999.0,34.80930015142076,34.80930015142076,1.0
2240000,1.2543689,4.1306233,999.0,43.18523888939526,43.18523888939526,1.0
2250000,1.2539788,4.1437426,999.0,48.47974719777703,48.47974719777703,1.0
2260000,1.251931,4.1562805,999.0,42.39548230040818,42.39548230040818,1.0
2270000,1.2518971,4.189576,999.0,47.38718795608729,47.38718795608729,1.0
2280000,1.2516115,4.1390243,999.0,43.682051903149116,43.682051903149116,1.0
2290000,1.2515664,4.074954,999.0,39.94866548087448,39.94866548087448,1.0
2300000,1.2500975,4.139491,999.0,43.48590971571393,43.48590971571393,1.0
2310000,1.2500975,4.1363893,999.0,43.5833929409273,43.5833929409273,1.0
2320000,1.2482091,4.006093,999.0,34.820517075434324,34.820517075434324,1.0
2330000,1.248174,4.138752,999.0,41.164075849298385,41.164075849298385,1.0
2340000,1.2476099,4.104121,999.0,40.38656197786331,40.38656197786331,1.0
2350000,1.2475646,4.2094307,999.0,43.549224611744286,43.549224611744286,1.0
2360000,1.2473111,4.1315613,999.0,39.11064371624961,39.11064371624961,1.0
2370000,1.247267,4.1736064,999.0,45.564415084011856,45.564415084011856,1.0
2380000,1.2468462,4.105554,999.0,36.43069592406973,36.43069592406973,1.0
2390000,1.2467301,4.2279468,999.0,43.55484891226515,43.55484891226515,1.0
2400000,1.2455641,4.1735024,999.0,40.48840850070119,40.48840850070119,1.0
2410000,1.2451154,4.1996737,999.0,43.863842339254916,43.863842339254916,1.0
2420000,1.2439531,4.290024,999.0,47.595281021017584,47.595281021017584,1.0
2430000,1.2433528,4.3067503,999.0,49.534055596776305,49.534055596776305,1.0
2440000,1.2428646,4.1819525,999.0,42.38003475153819,42.38003475153819,1.0
2450000,1.2425416,4.216116,999.0,45.774556905031204,45.774556905031204,1.0
2460000,1.2417884,4.208522,999.0,36.23414378119632,36.23414378119632,1.0
2470000,1.2411087,4.272207,999.0,44.28291869042441,44.28291869042441,1.0
2480000,1.2401595,4.2670145,999.0,44.81676748767495,44.81676748767495,1.0
2490000,1.239134,4.286518,999.0,43.894905844470486,43.894905844470486,1.0
2500000,1.2391933,4.2417955,999.0,42.22920620124787,42.22920620124787,1.0
2510000,1.2392867,4.30055,999.0,43.0095030348748,43.0095030348748,1.0
2520000,1.2392658,4.2653866,999.0,42.20464802756906,42.20464802756906,1.0
2530000,1.2392199,4.3727994,999.0,47.03931872518733,47.03931872518733,1.0
2540000,1.2394084,4.3399763,999.0,45.18565439581871,45.18565439581871,1.0
2550000,1.2398922,4.306543,999.0,44.88892613342032,44.88892613342032,1.0
2560000,1.2395924,4.1912904,999.0,36.085934539046136,36.085934539046136,1.0
2570000,1.2385337,4.2907133,999.0,45.12011942225509,45.12011942225509,1.0
2580000,1.2383401,4.223832,999.0,40.438591975253075,40.438591975253075,1.0
2590000,1.2373326,4.1505103,999.0,30.77979073631577,30.77979073631577,1.0
2600000,1.2372377,4.274641,999.0,43.560426130285485,43.560426130285485,1.0
2610000,1.2363355,4.2615356,999.0,41.677676731068644,41.677676731068644,1.0
2620000,1.2363294,4.1978145,999.0,41.565244441712274,41.565244441712274,1.0
2630000,1.2361825,4.299121,999.0,45.13906033197418,45.13906033197418,1.0
2640000,1.2361825,4.2986054,999.0,43.2135542890057,43.2135542890057,1.0
2650000,1.2357085,4.240159,999.0,42.18963765082881,42.18963765082881,1.0
2660000,1.235698,4.36083,999.0,45.36750569185242,45.36750569185242,1.0
2670000,1.2348285,4.4000373,999.0,45.404807296395305,45.404807296395305,1.0
2680000,1.2347472,4.3736444,999.0,45.36841660970822,45.36841660970822,1.0
2690000,1.2350907,4.4314017,999.0,44.90851476283278,44.90851476283278,1.0
2700000,1.2351501,4.405362,999.0,48.94737839894369,48.94737839894369,1.0
2710000,1.2330425,4.4370837,999.0,46.940106716752055,46.940106716752055,1.0
2720000,1.2324679,4.4126253,999.0,47.99390187300742,47.99390187300742,1.0
2730000,1.2305199,4.4012084,999.0,43.794803274492736,43.794803274492736,1.0
2740000,1.2297809,4.340495,999.0,44.189242073055354,44.189242073055354,1.0
2750000,1.228289,4.384358,999.0,43.19046738864854,43.19046738864854,1.0
2760000,1.2275288,4.371784,999.0,43.59020974403247,43.59020974403247,1.0
2770000,1.2263716,4.438575,999.0,45.827741738129404,45.827741738129404,1.0
2780000,1.2255957,4.389333,999.0,43.84922763714567,43.84922763714567,1.0
2790000,1.2244412,4.389492,999.0,45.026543154753746,45.026543154753746,1.0
2800000,1.223444,4.3795953,999.0,46.90560349295847,46.90560349295847,1.0
2810000,1.222631,4.397616,999.0,43.13867194782942,43.13867194782942,1.0
2820000,1.2217731,4.4393563,999.0,44.24152524396777,44.24152524396777,1.0
2830000,1.2213061,4.4185853,999.0,44.65138685405255,44.65138685405255,1.0
2840000,1.2206548,4.570526,999.0,51.33287848075852,51.33287848075852,1.0
2850000,1.2200135,4.561185,999.0,49.81418438754044,49.81418438754044,1.0
2860000,1.2188475,4.5272894,999.0,47.16956542376429,47.16956542376429,1.0
2870000,1.2182777,4.54635,999.0,43.73366929348558,43.73366929348558,1.0
2880000,1.2168885,4.547563,999.0,44.80247801933437,44.80247801933437,1.0
2890000,1.2168372,4.580224,999.0,46.67324314890429,46.67324314890429,1.0
2900000,1.2166831,4.5162497,999.0,42.03712323280051,42.03712323280051,1.0
2910000,1.2162713,4.5797524,999.0,47.095217909384516,47.095217909384516,1.0
2920000,1.2141602,4.549471,999.0,46.64916928985622,46.64916928985622,1.0
2930000,1.2140833,4.574382,999.0,44.181481453962625,44.181481453962625,1.0
2940000,1.2134418,4.596357,999.0,45.93951379032806,45.93951379032806,1.0
2950000,1.2134,4.623352,999.0,46.30734339184128,46.30734339184128,1.0
2960000,1.2122854,4.6075287,999.0,45.24166875844821,45.24166875844821,1.0
2970000,1.2122854,4.655404,999.0,48.59435803964734,48.59435803964734,1.0
2980000,1.2107524,4.4982095,999.0,34.54790617246181,34.54790617246181,1.0
2990000,1.2107288,4.6685324,999.0,46.28331179586239,46.28331179586239,1.0
3000000,1.2094456,4.6913157,999.0,49.33106853542849,49.33106853542849,1.0
3010000,1.2093328,4.638635,999.0,46.34341402594,46.34341402594,1.0
3020000,1.2080754,4.664207,999.0,46.174881609878504,46.174881609878504,1.0
3030000,1.2078674,4.569955,999.0,42.43744603702798,42.43744603702798,1.0
3040000,1.2075269,4.6643,999.0,45.531571817118675,45.531571817118675,1.0
